WIN,POST,YEAR,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,W,L,SV,HLD,WPCT,IP,H_A,HR_A,BB_A,HBP_A,SO_A,R_A,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_A,2B_A,3B_A,SAC_A,SF_A,IBB_A,WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB_A,CS_A,CS%,SBA,SB,CS,SB%,OOB,PKO
Y,Y,2015,삼성,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239,4.69,88,56,34,60,0.611,1275.33,1323,182,423,64,1194,716,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,96,9,3826,1304,104,0.982,8,80,49,38.0,209,157,52,75.1,60,6
N,N,2015,한화,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.360,0.764,144,0.269,0.207,5.11,68,76,32,44,0.472,1279.66,1349,157,648,96,920,800,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,105,9,3839,1582,145,0.981,14,165,63,27.6,127,80,47,63.0,57,14
N,N,2015,KIA,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198,4.79,67,77,32,65,0.465,1273,1371,143,572,98,979,739,678,1.53,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4,84,14,3819,1537,148,0.985,6,140,56,28.6,165,115,50,69.7,60,13
N,N,2015,KT,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267,5.56,52,91,16,31,0.364,1266.66,1518,154,577,87,1046,875,782,1.65,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4,118,14,3800,1530,159,0.978,6,139,64,31.5,176,124,52,70.5,58,10
N,N,2015,LG,0.269,144,5599,4941,653,1331,252,22,114,1969,601,75,41,462,18,80,1076,98,0.399,0.339,0.738,144,0.245,0.218,4.62,64,78,25,44,0.451,1279.66,1352,125,490,98,1063,721,657,1.44,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3,103,14,3839,1608,162,0.981,8,127,52,29.1,175,113,62,64.6,55,9
N,Y,2015,NC,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53,536,25,106,1023,105,0.455,0.367,0.822,144,0.293,0.280,4.26,84,57,37,55,0.596,1279.33,1283,149,436,113,1057,655,605,1.34,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3,83,3,3838,1460,133,0.985,5,85,37,30.3,264,204,60,77.3,50,14
N,Y,2015,SK,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29,490,13,98,1047,113,0.410,0.349,0.759,144,0.280,0.227,4.71,69,73,31,60,0.486,1280.66,1358,153,517,70,1149,724,670,1.46,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4,95,7,3842,1471,130,0.982,6,108,51,32.1,153,94,59,61.4,59,14
N,Y,2016,넥센,0.293,144,5702,4990,813,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.440,0.368,0.808,144,0.306,0.244,4.96,77,66,38,74,0.538,1280.33,1487,152,435,68,895,757,705,1.50,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,94,8,3841,1460,121,0.983,11,98,60,38.0,237,154,83,65.0,56,11
Y,Y,2016,두산,0.298,144,5841,5044,935,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,4.45,93,50,36,55,0.650,1287.66,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,79,8,3863,1522,160,0.986,4,82,44,34.9,130,85,45,65.4,64,4
N,N,2016,롯데,0.288,144,5784,5001,777,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.370,0.792,144,0.285,0.251,5.63,66,78,27,59,0.458,1266.33,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,91,14,3799,1545,142,0.983,14,90,59,39.6,209,145,64,69.4,55,10
N,N,2016,삼성,0.293,144,5863,5093,852,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,5.64,65,78,34,60,0.455,1282.33,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,90,12,3847,1410,140,0.983,8,115,58,33.5,154,104,50,67.5,51,5
N,N,2016,한화,0.289,144,5838,5109,826,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.280,5.76,66,75,24,39,0.468,1292.66,1520,155,634,76,976,908,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,124,7,3878,1497,152,0.977,8,124,66,34.7,102,64,38,62.7,58,10
N,Y,2016,KIA,0.286,144,5696,4999,803,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.810,144,0.288,0.286,4.97,70,73,38,74,0.490,1276,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.290,230,23,75,54,18,69,7,111,10,3828,1441,139,0.979,4,136,49,26.5,151,101,50,66.9,52,12
N,N,2016,KT,0.276,144,5620,4963,672,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.220,5.92,53,89,27,48,0.373,1273,1593,145,560,84,980,927,838,1.69,1,2,38,15,5896,23328,0.310,315,38,73,45,9,77,9,130,5,3819,1550,151,0.976,11,115,55,32.4,142,96,46,67.6,58,11
N,Y,2016,LG,0.290,144,5765,5051,786,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236,5.04,71,71,34,75,0.500,1287.66,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,103,12,3863,1580,139,0.981,9,80,49,38.0,191,121,70,63.4,70,13
N,Y,2016,NC,0.291,144,5833,5007,857,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.450,0.375,0.825,143,0.302,0.239,4.48,83,58,36,62,0.589,1286.33,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,100,4,3859,1430,136,0.981,3,70,43,38.1,140,99,41,70.7,48,3
N,N,2016,SK,0.291,144,5672,5023,753,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.810,142,0.276,0.299,4.87,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.50,1,5,60,12,5659,21558,0.280,232,22,61,48,18,65,7,123,7,3822,1691,149,0.978,4,106,64,37.6,149,89,60,59.7,71,8
N,N,2017,넥센,0.290,144,5712,5098,789,1479,267,30,141,2229,748,21,42,468,15,83,1066,129,0.437,0.357,0.794,144,0.290,0.230,5.03,69,73,40,66,0.486,1271,1488,149,388,97,1005,764,710,1.48,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,91,7,3813,1424,125,0.983,8,73,43,37.1,104,70,34,67.3,55,2
N,Y,2017,두산,0.294,144,5833,5102,849,1499,270,20,178,2343,812,48,47,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.200,4.38,84,57,35,46,0.596,1288,1405,125,464,87,956,678,627,1.45,3,9,69,13,5682,22169,0.280,234,31,77,39,11,54,4,90,9,3864,1468,138,0.983,5,64,36,36.0,102,69,33,67.6,36,8
N,Y,2017,롯데,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32,457,33,112,1018,146,0.433,0.356,0.789,144,0.280,0.229,4.56,80,62,39,59,0.563,1287.33,1357,162,477,79,1096,701,652,1.42,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,86,10,3862,1514,132,0.984,14,87,45,34.1,136,92,44,67.6,52,10
N,N,2017,삼성,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55,429,17,70,983,97,0.428,0.340,0.768,144,0.285,0.220,5.88,55,84,27,34,0.396,1281.33,1541,187,548,118,1063,911,837,1.63,1,3,43,12,5916,23196,0.300,281,28,56,59,15,74,4,95,6,3844,1454,152,0.982,14,64,35,35.4,135,98,37,72.6,53,6
N,N,2017,한화,0.287,144,5665,5030,737,1445,261,16,150,2188,684,85,38,416,15,94,974,112,0.435,0.350,0.785,144,0.290,0.281,5.28,61,81,31,49,0.430,1273,1474,166,446,100,914,820,747,1.51,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,91,4,3819,1500,151,0.983,11,78,42,35.0,108,64,44,59.3,58,12
Y,Y,2017,KIA,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56,499,19,89,891,117,0.469,0.370,0.839,144,0.324,0.254,4.79,87,56,33,46,0.608,1290,1518,137,434,77,985,743,687,1.51,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,98,4,3870,1498,153,0.982,12,69,45,39.5,110,76,34,69.1,46,8
N,N,2017,KT,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.410,0.332,0.742,144,0.290,0.239,5.75,50,94,22,41,0.347,1256,1524,174,433,95,913,876,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,112,6,3768,1460,134,0.979,10,109,43,28.3,137,86,51,62.8,54,8
N,N,2017,LG,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.400,0.348,0.748,144,0.295,0.217,4.30,69,72,32,66,0.489,1279,1305,124,379,102,1040,677,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,103,12,3837,1434,127,0.981,9,62,37,37.4,133,77,56,57.9,50,9
N,Y,2017,NC,0.293,144,5790,5079,786,1489,277,19,149,2251,739,62,48,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249,4.71,79,62,32,51,0.560,1284.66,1342,169,470,93,1097,745,673,1.41,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,108,4,3854,1432,134,0.980,4,64,42,39.6,125,93,32,74.4,59,7
N,Y,2017,SK,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237,5.02,75,68,30,64,0.524,1270.66,1443,154,481,105,940,767,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,108,15,3812,1552,139,0.980,8,80,39,32.8,95,53,42,55.8,33,7
N,Y,2018,넥센,0.288,144,5780,5141,825,1481,288,19,165,2302,787,32,50,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265,5.08,75,69,32,72,0.521,1282,1442,178,416,98,1021,780,723,1.45,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,106,16,3846,1506,147,0.981,7,70,39,35.8,134,101,33,75.4,45,6
Y,Y,2018,두산,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263,4.98,93,51,41,56,0.646,1288.66,1401,154,476,109,1025,756,713,1.46,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,77,2,3866,1403,147,0.986,8,68,43,38.7,119,96,23,80.7,54,7
N,N,2018,롯데,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37,471,22,81,1157,124,0.471,0.356,0.827,144,0.290,0.250,5.37,68,74,29,64,0.479,1283.66,1410,166,548,73,1164,846,766,1.53,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,117,5,3851,1426,132,0.978,14,101,41,28.9,100,68,32,68.0,46,10
N,N,2018,삼성,0.288,144,5766,5109,776,1471,241,29,146,2208,732,57,45,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237,5.19,68,72,33,56,0.486,1285.33,1477,185,441,107,1114,802,741,1.49,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,79,5,3856,1337,133,0.985,7,100,38,27.5,168,116,52,69.0,46,4
N,Y,2018,한화,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231,4.93,77,67,37,62,0.535,1274,1394,164,472,89,1124,761,698,1.46,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,99,10,3822,1397,141,0.981,11,83,41,33.1,182,118,64,64.8,58,10
N,Y,2018,KIA,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207,5.40,70,74,26,43,0.486,1270.66,1511,181,445,69,1017,826,763,1.54,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,94,8,3812,1371,127,0.982,11,95,40,29.6,125,88,37,70.4,53,6
N,N,2018,KT,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26,464,14,46,1109,103,0.456,0.340,0.796,144,0.273,0.262,5.34,59,82,24,45,0.418,1274.33,1580,194,409,84,1025,834,756,1.56,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,99,9,3823,1502,161,0.982,21,99,42,29.8,137,80,57,58.4,63,7
N,N,2018,LG,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245,5.29,68,75,29,43,0.476,1268.66,1434,159,453,89,1058,816,746,1.49,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,100,7,3806,1404,121,0.981,10,100,41,29.1,109,71,38,65.1,48,7
N,N,2018,NC,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284,5.48,58,85,24,51,0.406,1264,1443,186,537,68,1010,844,769,1.57,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,107,7,3792,1401,141,0.980,19,86,46,34.8,117,82,35,70.1,48,8
N,Y,2018,SK,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241,4.67,78,65,29,63,0.545,1274.66,1353,189,425,74,1130,729,662,1.39,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,116,6,3824,1434,133,0.978,6,95,39,29.1,147,108,39,73.5,51,10
N,Y,2019,키움,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.300,0.276,3.61,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.30,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,99,13,3837,1509,128,0.982,6,92,46,33.3,143,110,33,76.9,37,6
N,Y,2019,NC,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179,4.01,73,69,32,68,0.514,1284 1/3,1285,103,483,92,991,631,572,1.38,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,95,6,3853,1477,130,0.982,4,64,49,43.4,132,87,45,65.9,53,7
Y,Y,2019,두산,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202,3.51,88,55,44,69,0.615,1283 2/3,1259,78,380,70,860,550,500,1.28,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,83,8,3851,1430,131,0.985,6,96,32,25.0,140,102,38,72.9,59,7
N,N,2019,KT,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.270,0.218,4.29,71,71,37,59,0.500,1277,1303,118,481,61,848,661,608,1.40,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,102,7,3831,1479,137,0.981,15,90,43,32.3,148,104,44,70.3,58,8
N,Y,2019,LG,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,3.86,79,64,43,62,0.552,1283 1/3,1257,89,499,91,953,633,551,1.37,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,95,6,3850,1507,139,0.983,7,115,41,26.3,155,108,47,69.7,38,6
N,N,2019,KIA,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.190,4.65,62,80,30,64,0.437,1264,1362,101,504,76,976,723,653,1.48,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,110,5,3792,1381,126,0.979,9,116,50,30.1,129,87,42,67.4,61,7
N,Y,2019,SK,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,3.48,88,55,51,92,0.615,1292 1/3,1240,99,436,50,1092,546,500,1.30,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,87,9,3877,1416,131,0.984,3,105,31,22.8,168,118,50,70.2,51,12
N,N,2019,한화,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,4.80,58,86,28,43,0.403,1268 2/3,1407,120,526,72,934,737,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,106,8,3806,1488,151,0.980,10,104,49,32.0,156,105,51,67.3,51,6
N,N,2019,삼성,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,4.64,60,83,29,60,0.420,1275 1/3,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,105,4,3826,1370,132,0.980,9,90,38,29.7,149,107,42,71.8,45,7
N,N,2019,롯데,0.250,144,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.250,0.193,4.83,48,93,16,47,0.340,1271,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,114,8,3813,1432,131,0.979,11,91,44,32.6,96,65,31,67.7,49,8